Well.Position,Temperature,Fluorescence,Normalized,tm,Protein,Ligand
C02,40.88135,75104.08,0.164309750846539,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,40.94082,76577.68,0.168210389209989,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.00029,78079.73,0.172186335093418,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.059757,79610.625,0.176238634066962,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.119225,81170.77,0.180368358170887,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.17869,82760.58,0.184576605915592,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.238163,84380.38,0.188864237580302,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.29763,86030.51,0.193232153149438,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.357098,87711.16,0.197680855555473,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.41657,89422.43,0.202210609499706,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.476036,91164.41,0.206821653213307,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.535503,92937.164,0.211514156105109,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.59497,94740.74,0.216288245231736,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.65444,96575.19,0.221144058237865,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.71391,98440.64,0.226081928647133,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.773376,100337.46,0.231102835854353,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.832848,102266.02,0.236207759254337,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.892315,104226.74,0.241397810592545,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,41.951782,106220.09,0.246674233965091,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.01125,108246.625,0.252038498464191,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.07072,110306.78,0.257491755540503,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.130188,112400.94,0.263035024294034,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.189655,114529.51,0.26866937676505,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.249126,116692.91,0.274395924699013,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
