Well.Position,Temperature,Fluorescence,Normalized,norm_deriv,tm
A02,47.739937,47772.79,0.284471062451458,0.0142428654391698,54.330124
A02,47.79931,47844.723,0.285316704101178,0.0145600080474526,54.330124
A02,47.85868,47918.254,0.286181131778955,0.0148461770067829,54.330124
A02,47.918053,47993.234,0.287062593846379,0.0151055018879928,54.330124
A02,47.97742,48069.516,0.287959362176964,0.0153498936552929,54.330124
A02,48.036793,48147.04,0.288870731412959,0.0155895404339589,54.330124
A02,48.096165,48225.773,0.289796313607604,0.0158390269383043,54.330124
A02,48.155537,48305.766,0.290736708314985,0.0161082406536394,54.330124
A02,48.21491,48387.12,0.291693102887314,0.0164179906338786,54.330124
A02,48.274277,48470.03,0.292667789737275,0.0167677847401894,54.330124
A02,48.33365,48554.715,0.293663343420654,0.0171468346257924,54.330124
A02,48.39302,48641.31,0.294681350992388,0.0175291017659454,54.330124
A02,48.452393,48729.84,0.295722106351537,0.0178885008069223,54.330124
A02,48.51176,48820.176,0.296784092978942,0.0181922098853863,54.330124
A02,48.571133,48912.055,0.297864219056467,0.0184461609087365,54.330124
A02,48.630505,49005.215,0.29895940452194,0.0186649566129451,54.330124
A02,48.689877,49099.48,0.300067580325964,0.0188672029704572,54.330124
A02,48.749245,49194.76,0.301187688431914,0.0190797774277152,54.330124
A02,48.808617,49291.12,0.302320492977353,0.0193269583573241,54.330124
A02,48.86799,49388.73,0.303467992475902,0.019608715737893,54.330124
A02,48.92736,49487.758,0.304632161929261,0.0199203863620756,54.330124
A02,48.98673,49588.36,0.305814835267577,0.020272847423729,54.330124
A02,49.0461,49690.742,0.307018434219124,0.0206834688757759,54.330124
A02,49.105473,49795.203,0.308246473816685,0.0211455652847432,54.330124
A02,49.164845,49901.996,0.309501928318771,0.0216470809510602,54.330124
A02,49.224216,50011.32,0.310787137161916,0.0221646297771823,54.330124
A02,49.283585,50123.254,0.312103029067158,0.0226707990490199,54.330124
A02,49.342957,50237.75,0.313449039748296,0.0231543336779587,54.330124
